ID	text	parse
1	a	1
2	b	2
3	c	3
4	d	4
5	e	5
6	f	6
7	a	7
8	b	8
9	c	9
10	d	10
11	e	a
12	f	b
13	a	c
14	b	d
15	c	e
16	d	f
17	e	g
18	f	h
19	a	i
20	b	j
21	c	a
22	d	b
23	e	c
24	f	d
25	a	e
26	b	f
27	c	g
28	d	h
29	e	i
30	f	j
31	a	a
32	b	b
33	c	c
34	d	d
35	e	e
36	f	f
37	a	g
38	b	h
39	c	i
40	d	j
41	e	a
42	f	b
43	a	c
44	b	d
45	c	e
46	d	f
47	e	g
48	f	h
49	a	i
50	b	j
51	c	a
52	d	b
53	e	c
54	f	d
55	a	e
56	b	f
57	c	g
58	d	h
59	e	i
60	f	j
61	a	a
62	b	b
63	c	c
64	d	d
65	e	e
66	f	f
67	a	g
68	b	h
69	c	i
70	d	j
71	e	a
72	f	b
73	a	c
74	b	d
75	c	e
76	d	f
77	e	g
78	f	h
79	a	i
80	b	j
81	c	a
82	d	b
83	e	c
84	f	d
85	a	e
86	b	f
87	c	g
88	d	h
89	e	i
90	f	j
91	a	a
92	b	b
93	c	c
94	d	d
95	e	e
96	f	f
97	a	g
98	b	h
99	c	i
100	d	j
101	e	a
102	f	b
103	a	c
104	b	d
105	c	e
106	d	f
107	e	g
108	f	h
109	a	i
110	b	j
111	c	a
112	d	b
113	e	c
114	f	d
115	a	e
116	b	f
117	c	g
118	d	h
119	e	i
120	f	j
121	a	a
122	b	b
123	c	c
124	d	d
125	e	e
126	f	f
127	a	g
128	b	h
129	c	i
130	d	j
131	e	a
132	f	b
133	a	c
134	b	d
135	c	e
136	d	f
137	e	g
138	f	h
139	a	i
140	b	j
141	c	a
142	d	b
143	e	c
144	f	d
145	a	e
146	b	f
147	c	g
148	d	h
149	e	i
150	f	j
151	a	a
152	b	b
153	c	c
154	d	d
155	e	e
156	f	f
157	a	g
158	b	h
159	c	i
160	d	j
161	e	a
162	f	b
163	a	c
164	b	d
165	c	e
166	d	f
167	e	g
168	f	h
169	a	i
170	b	j
171	c	a
172	d	b
173	e	c
174	f	d
175	a	e
176	b	f
177	c	g
178	d	h
179	e	i
180	f	j
181	a	a
182	b	b
183	c	c
184	d	d
185	e	e
186	f	f
187	a	g
188	b	h
189	c	i
190	d	j
191	e	a
192	f	b
193	a	c
194	b	d
195	c	e
196	d	f
197	e	g
198	f	h
199	a	i
200	b	j
201	c	a
202	d	b
203	e	c
204	f	d
205	a	e
206	b	f
207	c	g
208	d	h
209	e	i
210	f	j
211	a	a
212	b	b
213	c	c
214	d	d
215	e	e
216	f	f
217	a	g
218	b	h
219	c	i
220	d	j
221	e	a
222	f	b
223	a	c
224	b	d
225	c	e
226	d	f
227	e	g
228	f	h
229	a	i
230	b	j
231	c	a
232	d	b
233	e	c
234	f	d
235	a	e
236	b	f
237	c	g
238	d	h
239	e	i
240	f	j
241	a	a
242	b	b
243	c	c
244	d	d
245	e	e
246	f	f
247	a	g
248	b	h
249	c	i
250	d	j
251	e	a
252	f	b
253	a	c
254	b	d
255	c	e
256	d	f
257	e	g
258	f	h
259	a	i
260	b	j
261	c	a
262	d	b
263	e	c
264	f	d
265	a	e
266	b	f
267	c	g
268	d	h
269	e	i
270	f	j
271	a	a
272	b	b
273	c	c
274	d	d
275	e	e
276	f	f
277	a	g
278	b	h
279	c	i
280	d	j
281	e	a
282	f	b
283	a	c
284	b	d
285	c	e
286	d	f
287	e	g
288	f	h
289	a	i
290	b	j
291	c	a
292	d	b
293	e	c
294	f	d
295	a	e
296	b	f
297	c	g
298	d	h
299	e	i
300	f	j
301	a	a
302	b	b
303	c	c
304	d	d
305	e	e
306	f	f
307	a	g
308	b	h
309	c	i
310	d	j
311	e	a
312	f	b
313	a	c
314	b	d
315	c	e
316	d	f
317	e	g
318	f	h
319	a	i
320	b	j
321	c	a
322	d	b
323	e	c
324	f	d
325	a	e
326	b	f
327	c	g
328	d	h
329	e	i
330	f	j
331	a	a
332	b	b
333	c	c
334	d	d
335	e	e
336	f	f
337	a	g
338	b	h
339	c	i
340	d	j
341	e	a
342	f	b
343	a	c
344	b	d
345	c	e
346	d	f
347	e	g
348	f	h
349	a	i
350	b	j
351	c	a
352	d	b
353	e	c
354	f	d
355	a	e
356	b	f
357	c	g
358	d	h
359	e	i
360	f	j
361	a	a
362	b	b
363	c	c
364	d	d
365	e	e
366	f	f
367	a	g
368	b	h
369	c	i
370	d	j
371	e	a
372	f	b
373	a	c
374	b	d
375	c	e
376	d	f
377	e	g
378	f	h
379	a	i
380	b	j
381	c	a
382	d	b
383	e	c
384	f	d
385	a	e
386	b	f
387	c	g
388	d	h
389	e	i
390	f	j
391	a	a
392	b	b
393	c	c
394	d	d
395	e	e
396	f	f
397	a	g
398	b	h
399	c	i
400	d	j
401	e	a
402	f	b
403	a	c
404	b	d
405	c	e
406	d	f
407	e	g
408	f	h
409	a	i
