id,char,numeric
1,a,0.834771648
2,b,0.894731284
3,c,0.619068169
4,d,0.167788813
5,e,0.137530403
6,f,0.440578994
7,g,0.778763942
8,h,0.188248525
9,i,0.470552229
10,j,0.954947825
11,k,0.58171639
12,l,0.481980257
13,m,0.605772136
14,n,0.200712067
15,o,0.934545116
16,p,0.801825626
17,q,0.140077103
18,r,0.645507259
19,s,0.803439159
20,t,0.882519628
21,u,0.192119317
22,v,0.421912562
23,w,0.527600349
24,x,0.869690531
25,y,0.532792378
26,z,0.964331525
27,a,0.998768493
28,b,0.156988997
29,c,0.208380462
30,d,0.625245744
31,e,0.610735253
32,f,0.565093013
33,g,0.079389262
34,h,0.036174143
35,i,0.343193583
36,j,0.966136629
37,k,0.185964486
38,l,0.065394428
39,m,0.463678232
40,n,0.423618604
41,o,0.211867791
42,p,0.267738225
43,q,0.671062629
44,r,0.913120468
45,s,0.978123825
46,t,0.071769768
47,u,0.993629925
48,v,0.966936624
49,w,0.500544068
50,x,0.341108085
51,y,0.590708038
52,z,0.009945675
53,a,0.204459783
54,b,0.812524719
55,c,0.402625819
56,d,0.117640833
57,e,0.62562603
58,f,0.507022107
59,g,0.841125642
60,h,0.239964843
61,i,0.399428832
62,j,0.540496988
63,k,0.148293879
64,l,0.629415434
65,m,0.738957087
66,n,0.473923588
67,o,0.57885237
68,p,0.194059302
69,q,0.843812519
70,r,0.085675824
71,s,0.293149254
72,t,0.765993733
73,u,0.430041513
74,v,0.892057134
75,w,0.19273178
76,x,0.122419446
77,y,0.836453172
78,z,0.823826251
79,a,0.883779968
80,b,0.497974553
81,c,0.357040426
82,d,0.40493201
83,e,0.924535162
84,f,0.42886433
85,g,0.817947666
86,h,0.936545426
87,i,0.725362771
88,j,0.603122259
89,k,0.701305715
90,l,0.548358556
91,m,0.718903211
92,n,0.341606897
93,o,0.66196728
94,p,0.56926221
95,q,0.237140224
96,r,0.319526034
97,s,0.928964745
98,t,0.197527417
99,u,0.32231143
100,v,0.768972606
101,w,0.681907432
102,x,0.195866606
103,y,0.638349845
104,z,0.72048522
105,a,0.837630434
106,b,0.915570766
107,c,0.311490465
108,d,0.470751107
109,e,0.502772622
110,f,0.410321149
111,g,0.435314057
112,h,0.429558645
113,i,0.184944973
114,j,0.333500559
115,k,0.326831596
116,l,0.443909747
117,m,0.404977188
118,n,0.38687547
119,o,0.365544161
120,p,0.896884681
121,q,0.753173561
122,r,0.325434774
123,s,0.942865556
124,t,0.55863016
125,u,0.553898585
126,v,0.501400127
127,w,0.451461989
128,x,0.089468262
129,y,0.419200726
130,z,0.965181966
131,a,0.206841928
132,b,0.946817749
133,c,0.7760108
134,d,0.873165937
135,e,0.62710987
136,f,0.317239155
137,g,0.149405356
138,h,0.041284956
139,i,0.359493124
140,j,0.636967793
141,k,0.875462356
142,l,0.285778084
143,m,0.737720621
144,n,0.176004436
145,o,0.108132538
146,p,0.125084187
147,q,0.357686836
148,r,0.93466212
149,s,0.670229825
150,t,0.736875853
151,u,0.608257987
152,v,0.223552921
153,w,0.569885326
154,x,0.152997125
155,y,0.431299452
156,z,0.216960644
157,a,0.251212274
158,b,0.511987983
159,c,0.409763141
160,d,0.483055445
161,e,0.491794952
162,f,0.085635576
163,g,0.132357963
164,h,0.319833008
165,i,0.54133063
166,j,0.320976388
167,k,0.839614937
168,l,0.22130862
169,m,0.569821692
170,n,0.965947041
171,o,0.108587852
172,p,0.743381694
173,q,0.308962238
174,r,0.376127038
175,s,0.977540559
176,t,0.051146014
177,u,0.630263425
178,v,0.456430602
179,w,0.920116992
180,x,0.020839973
181,y,0.071860687
182,z,0.667122635
183,a,0.607895583
184,b,0.67155862
185,c,0.7914013
186,d,0.76522218
187,e,0.50612502
188,f,0.291287188
189,g,0.752329602
190,h,0.663299601
191,i,0.276417638
192,j,0.838566565
193,k,0.300615254
194,l,0.363925834
195,m,0.999845714
196,n,0.271003299
197,o,0.496234016
198,p,0.761627456
199,q,0.829443887
200,r,0.374314121
201,s,0.265660984
202,t,0.571365147
203,u,0.372921237
204,v,0.596801651
205,w,0.525363483
206,x,0.567673337
207,y,0.346994107
208,z,0.71368645
209,a,0.386638842
210,b,0.472233901
211,c,0.014547778
212,d,0.830311305
213,e,0.148285337
214,f,0.485916306
215,g,0.388036801
216,h,0.942608254
217,i,0.125343666
218,j,0.808420669
219,k,0.921050566
220,l,0.254291504
221,m,0.973153813
222,n,0.956022513
223,o,0.697342233
224,p,0.824439003
225,q,0.93274482
226,r,0.742647633
227,s,0.29214571
228,t,0.845826986
229,u,0.479618217
230,v,0.563150323
231,w,0.213752289
232,x,0.485937538
233,y,0.866754658
234,z,0.852618117
